Issue Type,Key,Epic Link,Journey,Wave,Summary,Description,Acceptance Criteria,Personas,Modules,Priority,T-Shirt,Depends On,Flags
"Epic","J6-E3","","J6 Govern & Administer","0","Audit trail","Every privileged action is recorded in an append-only trail that outlives the people named in it.","","Sports Secretary, Faculty Coordinator","03","P0","M","",""
"Story","J6-E3-S1","J6-E3","J6 Govern & Administer","0","Privileged actions are recorded","As a Sports Secretary, I want every consequential action recorded, so that I can prove what happened.","When a privileged action occurs — a result locked or corrected, a registration approved,
     a person verified, a role assigned, a certificate issued or revoked, an organisation
     setting changed, a report exported, an erasure executed
Then an entry records who did it, when, to what, a human-readable summary, and what changed
And system-performed actions are recorded with the actor shown as System","Sports Secretary, Faculty Coordinator","03","P0","","",""
"Story","J6-E3-S2","J6-E3","J6 Govern & Administer","0","Entries cannot be altered","As a Sports Secretary, I want the log to be append-only, so that it's worth something as evidence.","Then no interface or endpoint permits editing or deleting an audit entry
And the database itself refuses updates and deletes on the audit table
And deleting the thing an entry describes does not delete the entry","Sports Secretary, Faculty Coordinator","03","P0","","",""
"Story","J6-E3-S3","J6-E3","J6 Govern & Administer","0","Read the timeline","As a Faculty Coordinator, I want to browse and filter the audit trail, so that I can answer a specific question quickly.","Then I see a reverse-chronological timeline scoped to my institution
And I can filter by actor, action type, target and date range
And each entry reads as a sentence, not a raw payload
And I only see entries for institutions I have audit rights in","Sports Secretary, Faculty Coordinator","03","P0","","",""
"Story","J6-E3-S4","J6-E3","J6 Govern & Administer","0","Entries survive the people in them","As a Sports Secretary, I want old entries to remain readable, so that history doesn't degrade as people leave.","Given the user who performed an action has since been deleted or erased
Then the entry still shows the actor's name as recorded at the time
And the entry still shows what the target was at the time","Sports Secretary, Faculty Coordinator","03","P0","","",""
"Epic","J6-E5","","J6 Govern & Administer","0","Tenant isolation & data boundaries","An institution's data is not visible to, or enumerable by, other institutions.","","Sports Secretary","01, 03","P0","M","",""
"Story","J6-E5-S1","J6-E5","J6 Govern & Administer","0","Our data is not browsable by outsiders","As a Sports Secretary, I want our people and internal data invisible to other institutions, so that we can put real student records here.","Given I belong to institution A
When I request the organisation list
Then I see only institutions I belong to
And a directory search returns only name, short name, city and logo, never membership
And personal organisations never appear
And I cannot retrieve institution B's people, teams or reports by any endpoint","Sports Secretary","01, 03","P0","","",""
"Story","J6-E5-S2","J6-E5","J6 Govern & Administer","0","Cross-institution membership is scoped","As a Player, I want my two institutions kept separate, so that one cannot see my standing in the other.","Given I belong to a university and a city club
Then each sees only my membership, verification status and member code with them
And neither sees the other's
And my lifetime record shows results from both only to me","Sports Secretary","01, 03","P0","","",""
"Story","J6-E5-S3","J6-E5","J6 Govern & Administer","0","Deleting an institution is guarded","As a Sports Secretary, I want deletion to be deliberate and safe, so that competition history can't be destroyed by accident.","Given my institution has teams with completed or scored matches
When I attempt to delete it
Then it is refused, and I am told those results must be removed first

Given it has teams or entries but no played matches
Then I must explicitly confirm cascading removal
And only an owner may delete, never an admin","Sports Secretary","01, 03","P0","","",""
"Epic","J1-E1","","J1 Institution Onboarding","1","Institution identity & verified tenancy","IIMB exists as a verified institution tenant with its email domain claimed, distinct from the lightweight community orgs anyone can create.","","Sports Secretary","01","P0","M","",""
"Story","J1-E1-S1","J1-E1","J1 Institution Onboarding","1","Register an institution","As a Sports Secretary, I want to register my institution with its name, logo and city, so that my people see a workspace that looks like ours, not a generic tool.","Given I am signed in and belong to no institution
When I create an organisation and supply name, short name, city and logo
Then it is created with kind='community' and verified=false
And I become its owner
And it does not appear in any other user's organisation directory listing","Sports Secretary","01","P0","","",""
"Story","J1-E1-S2","J1-E1","J1 Institution Onboarding","1","Claim our email domain","As a Sports Secretary, I want to claim `@iimb.ac.in` for my institution, so that anyone from IIMB is routed to our workspace automatically.","Given I am the owner of an institution
When I add the domain ""iimb.ac.in""
Then it is stored against my institution with verified=false
And it has no effect on sign-in until a platform admin verifies it

Given a domain is already claimed and verified by another institution
When I try to add the same domain
Then I am told the domain is already claimed
And I am not told which institution holds it

Given I try to add a public mail provider such as ""gmail.com""
When I submit it
Then it is rejected against the public-provider deny-list","Sports Secretary","01","P0","","",""
"Story","J1-E1-S3","J1-E1","J1 Institution Onboarding","1","Request verification `[platform action]`","As a Sports Secretary, I want my institution verified, so that the Verified badge and the workspace features are switched on.","Given my institution has at least one claimed domain
When I request verification
Then Sportagon is notified and the request is recorded

Given a platform admin approves the request
Then kind becomes 'institution' and verified becomes true
And my claimed domains become verified and start routing sign-in
And the Verified badge appears in my sidebar
And an audit entry records who verified it and when","Sports Secretary","01","P0","","",""
"Story","J1-E1-S4","J1-E1","J1 Institution Onboarding","1","Configure workspace settings","As a Sports Secretary, I want to control which sign-in methods my institution allows, so that we match our own security policy.","Given my institution is verified
When I enable password and one-time code, and leave SSO off
Then only those methods are offered on the sign-in screen for my domain
And the settings are validated against a schema before saving","Sports Secretary","01","P0","","",""
"Epic","J1-E2","","J1 Institution Onboarding","1","Email-first sign-in & account recovery","A person types their work email and the product knows who they are and where they belong — and can recover their own account without human help.","","Sports Secretary, Faculty Coordinator, Student Coordinator, Player","01, 02","P0","M","",""
"Story","J1-E2-S1","J1-E2","J1 Institution Onboarding","1","Email-first identification","As a Sports Secretary, I want the sign-in screen to recognise my institution from my email, so that I get confirmation I'm in the right place before I type a password.","Given ""iimb.ac.in"" is a verified domain for IIM Bangalore
When I enter ""akash@iimb.ac.in"" on the sign-in screen
Then I see ""IIM Bangalore — Organisation identified"" with the institution's logo
And I am offered only the sign-in methods that institution permits

Given I enter an email whose domain is not claimed by any institution
Then I am shown the generic sign-in form
And the response is identical whether or not an account exists for that address","Sports Secretary, Faculty Coordinator, Student Coordinator, Player","01, 02","P0","","",""
